code,category,label,source,bug_type,original_hash,generation_date,version
"def variant_0_add(a, b):
    return a + b",arithmetic,0,base_pattern,,,20250327_160057,1.0
"def variant_1_add(a, b):
    return a + b",arithmetic,0,base_pattern,,,20250327_160057,1.0
"def variant_2_add(a, b):
    return a + b",arithmetic,0,base_pattern,,,20250327_160057,1.0
"def variant_3_add(a, b):
    return a + b",arithmetic,0,base_pattern,,,20250327_160057,1.0
"def variant_4_add(a, b):
    return a + b",arithmetic,0,base_pattern,,,20250327_160057,1.0
"def variant_5_add(a, b):
    return a + b",arithmetic,0,base_pattern,,,20250327_160057,1.0
"def variant_6_add(a, b):
    return a + b",arithmetic,0,base_pattern,,,20250327_160057,1.0
"def variant_7_add(a, b):
    return a + b",arithmetic,0,base_pattern,,,20250327_160057,1.0
"def variant_8_add(a, b):
    return a + b",arithmetic,0,base_pattern,,,20250327_160057,1.0
"def variant_9_add(a, b):
    return a + b",arithmetic,0,base_pattern,,,20250327_160057,1.0
"def variant_10_add(a, b):
    return a + b",arithmetic,0,base_pattern,,,20250327_160057,1.0
"def variant_11_add(a, b):
    return a + b",arithmetic,0,base_pattern,,,20250327_160057,1.0
"def variant_12_add(a, b):
    return a + b",arithmetic,0,base_pattern,,,20250327_160057,1.0
"def variant_13_add(a, b):
    return a + b",arithmetic,0,base_pattern,,,20250327_160057,1.0
"def variant_14_add(a, b):
    return a + b",arithmetic,0,base_pattern,,,20250327_160057,1.0
"def variant_15_add(a, b):
    return a + b",arithmetic,0,base_pattern,,,20250327_160057,1.0
"def variant_16_add(a, b):
    return a + b",arithmetic,0,base_pattern,,,20250327_160057,1.0
"def variant_17_add(a, b):
    return a + b",arithmetic,0,base_pattern,,,20250327_160057,1.0
"def variant_18_add(a, b):
    return a + b",arithmetic,0,base_pattern,,,20250327_160057,1.0
"def variant_19_add(a, b):
    return a + b",arithmetic,0,base_pattern,,,20250327_160057,1.0
"def variant_0_sqrt(x):
    return x ** 0.5",math,0,base_pattern,,,20250327_160057,1.0
"def variant_1_sqrt(x):
    return x ** 0.5",math,0,base_pattern,,,20250327_160057,1.0
"def variant_2_sqrt(x):
    return x ** 0.5",math,0,base_pattern,,,20250327_160057,1.0
"def variant_3_sqrt(x):
    return x ** 0.5",math,0,base_pattern,,,20250327_160057,1.0
"def variant_4_sqrt(x):
    return x ** 0.5",math,0,base_pattern,,,20250327_160057,1.0
"def variant_5_sqrt(x):
    return x ** 0.5",math,0,base_pattern,,,20250327_160057,1.0
"def variant_6_sqrt(x):
    return x ** 0.5",math,0,base_pattern,,,20250327_160057,1.0
"def variant_7_sqrt(x):
    return x ** 0.5",math,0,base_pattern,,,20250327_160057,1.0
"def variant_8_sqrt(x):
    return x ** 0.5",math,0,base_pattern,,,20250327_160057,1.0
"def variant_9_sqrt(x):
    return x ** 0.5",math,0,base_pattern,,,20250327_160057,1.0
